COURSE_CODE,COURSE_MODULE,CM_CODE,UNIT_CODE,UNIT_TYPE
C2001,D,C2001,FIT1008,CORE
C2001,D,C2001,FIT1045,CORE
C2001,D,C2001,FIT1047,CORE
C2001,D,C2001,FIT2004,CORE
C2001,D,C2001,FIT2014,CORE
C2001,D,C2001,MAT1830,CORE
C2001,D,C2001,MAT1841,CORE
C2001,D,C2001PROF,FIT1055,ELECTIVE
C2001,D,C2001PROF,FIT1049,ELECTIVE
C2001,S,COMPSCI03,FIT2099,CORE
C2001,S,COMPSCI03,FIT3143,CORE
C2001,S,COMPSCI03,FIT3171,CORE
C2001,S,COMPSCI03,FIT2102,CORE
C2001,S,COMPSCI03,FIT3155,CORE
C2001,S,COMPSCI03,FIT3031,ELECTIVE
C2001,S,COMPSCI03,FIT3080,ELECTIVE
C2001,S,COMPSCI03,FIT3081,ELECTIVE
C2001,S,COMPSCI03,FIT3088,ELECTIVE
C2001 ,S,COMPSCI03,FIT3094,ELECTIVE
C2001,S,COMPSCI03,FIT3139,ELECTIVE
C2001,S,COMPSCI03,FIT3142,ELECTIVE
C2001,S,COMPSCI03,FIT3146,ELECTIVE
C2001,S,COMPSCI03,FIT3152,ELECTIVE
C2001,S,COMPSCI03,FIT3159,ELECTIVE
C2001,S,COMPSCI03,FIT3165,ELECTIVE
C2001,S,COMPSCI03,FIT3173,ELECTIVE
C2001,S,COMPSCI03,FIT3175,ELECTIVE
C2001,S,COMPSCI03,FIT3181,ELECTIVE
C2001,S,COMPSCI03,FIT3182,ELECTIVE
C2001,S,COMPSCI03,FIT3183,ELECTIVE
C2001,S,COMPSCI03,MTH3170,ELECTIVE
C2001,S,COMPSCI03,MTH3175,ELECTIVE
C2001,S,COMPSCI03,FIT3077,ELECTIVE
C2001,S,COMPSCI03,FIT3161,CORE
C2001,S,COMPSCI03,FIT3162,CORE
C2001,S,DATASCI01,FIT1043,CORE
C2001,S,DATASCI01,FIT2086,CORE
C2001,S,DATASCI01,FIT2094,CORE
C2001,S,DATASCI01,FIT3179,CORE
C2001,S,DATASCI01,FIT3003,ELECTIVE
C2001,S,DATASCI01,FIT3139,ELECTIVE
C2001,S,DATASCI01,FIT3152,ELECTIVE
C2001,S,DATASCI01,FIT3154,ELECTIVE
C2001,S,DATASCI01,FIT3181,ELECTIVE
C2001,S,DATASCI01,FIT3182,ELECTIVE
C2001,S,DATASCI01,FIT3183,ELECTIVE
C2001,S,DATASCI01,FIT3163,ELECTIVE
C2001,S,DATASCI01,FIT3164,ELECTIVE
C2001,S,DATASCI01,FIT3045,ELECTIVE
C2001,S,DATASCI01,FIT3199,ELECTIVE
C3702 ,D,C3702 ,FIT4005,CORE
C3702 ,D,C3702 ,FIT4441,CORE
C3702,D,C3702,FIT4442,CORE
C3702,D,C3702,FIT4443,CORE
C3702,D,C3702,FIT4444,CORE